text,label
전 집안 어른이 동성동본 결혼하시려고 족보를 갈아엎어서.......등본 떼면 전주최씨자나여.....,sad
살 진짜 많이 빠졌다 ㅠㅠ아이홀 라인이 거의..쌍꺼풀..이 됐어,sad
아냐,happy
"음, 아마 아침드라마에서 보셨을거예요. 배우 장선영입니다. (배우 미소)",happy
플엑 저도 가게해주세요 ... 부산 울었다,sad
"20일차 시작
스콘과 딸기우유로 시작하는 아침! 숙소에 정원이 있어서 좋았는데 머물면서 나가 볼 여유가 없었다. 그래서 이날 아침에는 거실에서 정원을 보면서 아침을 먹었다.
유럽에서 과일맛 우유가 먹고 싶었는데 한국만큼 제품이 많지가 않고, 런던에서 산 것도 맛이 이상해서 억지로 마심 pic.twitter.com/ZWaGsk8LPA",sad
코드네임 그 뭐시기... 그걸 롱님이 올려주셨는데 찾을 수가 없다 암튼 그거 기반입니다 (날로먹기),fear
마자요!! 진짜 그래서 더 기분나뻐요,angry
" #남우현_HoldOnMe_음원 5월 8일 22시

전체 차트아웃

11시에는 진입해야합니다 T_T
스밍 돌아가고 있는지 확인 부탁드려요",sad
저요!,happy
"작년사진 꺼내보다가 찾은 셀카ㅋㅋ
앙스타 / 언데드 코가!
아이돌 캐릭이라서,
아이돌 메이크업 참고 pic.twitter.com/uceLfWZkjc",happy
나 대구와써,happy
죠와아 잘 골라야디,happy
"금련 은련 흑련 통칭 연꽃시리즈
#연꽃시리즈 리뉴얼 & 정리

귀걸이 3종과 비녀 2종으로 판매됩니다:Dpic.twitter.com/jMygF1bxiM",happy
"개인피티 받을 때 스쿼트 바른 자세 잡는 것만 한 달 걸린 나로서는 경악 할 따름 
다이어트 목적으로 가서 진도는 못 빼고 트레이너님의 멘붕만 유발했던 나레기.. pic.twitter.com/tbJvrk5SPY",fear
속이 안좋으셔요?,sad
 안녕~ 친하게 지내 ,happy
안녕하세요 럽휘님~ 전 주로 모비즌으로 녹화 떠요! ,happy
"#엔피아_트친소 #엔플라잉_트친소 
안녕하세요 어제 입덕한 늦덕 학생 엔피아입니다! 늦덕이라 잘 모르지만 차근히 알아가는 중이에요
올팬이구 저랑 같이 엔플라잉 앓아 주실 분을 찾습니다 다가와주세요! 흔적 남기시면 찾아뵐게요",happy
사실 생일같은거 귀찮아서 안챙기는데 우리 애 생일인데 케이크는 내가 받아버렸기때문에 양심에 찔려서 축하합니다 케이크 선물주신 익명분 감사합니다  장원 오기전에 생일 축하 파티같은거 해보기나 했을까 오늘 행복했으면~ ,fear
" 부전공이라고해도 클라스가 다르지달라  6시 설렘뿜뿜한 곡 딱 기다리고있을게ㅎ
그리고 어제보다 오늘 더 기여오
우이횩이 대박나서 더 봄꽃길만 걷자 pic.twitter.com/y3lfb0pl8A",happy
친해져여^♡^,happy
호달달달...,fear
 안녕하세요! 추천쪽에 떠서 우연히 눌렀는데 그림이 너무 귀여워서 팔로우 놓고 갑니다. 행복한 하루 되세요!,sad
"취향 아닌 듯
대참사..",fear
손 씻기 발 씻기[2013 국악방송 추천 아이들 노래] https://youtu.be/quzuxTm9Xvg  via @YouTubeوونززر       ,happy
"왜 마취를 안한다는건지 ㅠㅠ 마취를 해도 아픈데,,치과 트라우마 있어서 무섭네요",fear
개구리참외 세개가 썩어가고잇네요 냉장고에자리가엄쏘,fear
"#별빛이_보정한다
원본                             보정
저장시 흔적 pic.twitter.com/DnnRzQUMOd",happy
"보고싶다 오빠 
https://youtu.be/0p-O4smRVF4 
#XIUMIN #YOU #XIUMIN_YOU #EXO #엑소 @weareoneEXO",sad
예쁘다고..??? 그래도 좋은 말들 해줘서 너무 고마워ㅠㅠㅠ 토리 말대로 앞으로도 친하게 지내자,happy
놀리지 마세요,angry
"2019년 5월 4일 9PM
#LoveShot 음원 순위

멜론 54위 ▼1 

오늘도 숨쉬듯 스밍스밍~
@weareoneEXO
탑 뮤직 & 오 뮤직 어워즈 투표중!
 https://twitter.com/book0805/status/1123884243589967872 …
#EXO탑뮤직어워즈투표pic.twitter.com/DG1cN1DgGc",fear
않이 회만 주고 왜 머리뼈를 안줘요 ,angry
렌보가는 루나가 탐라보고 들어왔어요 오늘부터 트친도 엽서 받을 수 있을까용?!?!,happy
저희 내일 같이 쥬거요 ... ,happy
오늘도 무주식 인생...,sad
학교 다녀도..돈은 벌고 싶어ㅠㅜㅠ,happy
"#청도출장ㅁㅏㅅㅏㅈㅣ강추


카카오톡 : 《PAA4》

24시간대기
오늘힐링하세요
24시간상담가능

#시흥외국인출장
#홍성출장후불
#예천출장ㅁㅏㅅㅏㅈㅣ
pic.twitter.com/tw5tMVxFYL",angry
"크라운 오더.......
할리스 선생님들도 힘내세요.....",sad
아야...,fear
마자마자ㅎㅎㅎ꼭 서울에 정착할거야,happy
"190510 비트로드 팬싸 미리보기
 
#뉴이스트 #NUEST
#백호 #강동호 #BET_BET #Happily_Ever_Afterpic.twitter.com/55fpfdh8dW",happy
"#알트ㅋㅗ인
#YESㅋㅏㅈㅣㄴㅗ
 X M X 4 5 2 . C O M 


입장 


과면로마어울




사원있의했일




떤동설간수과...

dAs2nY2YyoeNW0tMBVWV",angry
영상 보시면 싫어요 한번씩 부탁드립니다 ,angry
아니 지가 잘못해놓고 왜 남한테 사과문을 고쳐달래!!너무 어이가;; 진짜 인연 잘끊으셨어요!!!,angry
ㅠㅠ 항상 응원할게여,sad
세계최고백현바.. ,fear
미의 기준은 예전부터 여전햇다구! 그리고 유에가 존잘이라는 사실도 바뀌지 않앗지! 빨리 인정해 !,angry
대단해,happy
"#영월출장샵강추
#김해출장만남강추


카카오톡 : 〔paa4〕

이쁜이와의파티
출장힐링샾
24시간대기

#거제출장추천
#나주24시출장ㅁㅏㅅㅏㅈㅣ
 pic.twitter.com/T9Uaip5Ss5",angry
"너무 달달하다
좋은노래 고마워요:-)
혁이 덕분에 무한 힐링중 pic.twitter.com/7ywLIws4ve",sad
다행히 다행이라니..일어나자마자 써서 말이 엉망이네요...흑흑 죄송합니다 ㅜㅅㅜ.. 괜찮으셨다니 한시름 놨어요 저도 드셔주신 구리님께 감사인사를~~!!! 감사해용!(뽀다담,sad
앗ㅋㅋㄱㅋㄱ효륵님  기회가 된다면 꼭 ^ㅡ^♡,sad
"멜련74, 지닌아예없어용ㅇ  민석이가 준 선물인뎅ㅇ #PremiosMTVMIAW #MTVLAKPOPEXO #MTVBRKPOPEXO #WEARONEXO #시우민 #XIUMIN #이유pic.twitter.com/LAzlw3Clx0",sad
컨디션이 안좋으셔서 눈 상태가 별로인걸거에요;  수술 전엔 몰랐는데 수술하고 나니 컨디션 영향 엄청 많이 받더라구요 피곤하면 눈도 같이 흐릿,sad
"어버버 약국직원 스타뉴스 ㅇㅅㄱ 기자가
우리애들 이름으로 제목걸고
흠집성 내용에 타그룹홍보글써놓은
기사를 클릭했네아 기분
다음 홈메인에 이 기사가 걸려있어",angry
ㅠㅠㅠㅠ안돼앳  pic.twitter.com/sCklCQQup0,sad
아라이...나...,angry
교수님 강의가 너무 재미없어요pic.twitter.com/JHWyfGFdRO,fear
"으쓱으쓱 ...   혼자 씐난 새럼
 1/00000000  
 브라질 툽
#MTVBRKPOPBTS #MTVBRFANDOMBTSARMY
#PremiosMTVMIAW @BTS_twtpic.twitter.com/kHm591WGKv",happy
"시즌 픽
1 전소미
2 주학년
3 최예나

 2때만 데뷔 못하고",fear
ㅎㅎ^^ 글쎄,angry
전설의고향인줄 ㅠㅠㅠㅠㅠㅠㅠㅜㅜ,fear
우리애들 한명한명 꽃길만 걸었으면 좋겠어요,sad
"..... 그건 남친으로서도 사람으로서도 엄청 모욕준거 아닌가요?;;
제가 들은 말도 아닌데 화가나네요",angry
"환장합니다..재인이 땜에..ㅎㅎ
믈 알아 쳐므야 말이제..우긴다고 되남? 정은이가 비웃는다.pic.twitter.com/mCXkeuBWiF",angry
고추는 매워pic.twitter.com/qFOubEqxOz,happy
아 대낮부터 대빡치네ㅋㅋㅋㅋㅋ 아니 작년에도 유로파 4강은 갔다ㅋㅋㅋㅋ 14패를 하고도 챔스 티켓이 가능한 역대급 난이도의 시즌에서도 알아서 자멸해서 남 좋은 일만 시켜주면 도대체 뭘 믿고 팬질을 해야 되냐,fear
그러니까요... pic.twitter.com/nYKHfdtdS2,angry
라면이나 먹자...,sad
"#천안출장샵가격
#단양모텔출장추천


카카오톡 : 〖paa4〗

연예인급미녀
남성천국샵
24시간대기

#은평콜걸샵강추
#부천여대생출장
pic.twitter.com/GQK32gRN6J",angry
왉 졵으낙 무럐할닭 왥그으러고. 삻악? 잼잇...얻? 졷갔네 닏듫이? 엁딯서 붏펹핝 척!! 읻얋!! 잁럴겥:D 쓷닏.깑 뭕맗읹...지 졷돍 몱륻갯지?!? 틁.혜 누리...는걵 지듫읺멵서 핗햏 받늕 첛 옺졌닭~!!~!~!~!,happy
와... 진짜 행복해 #Congratulate_NUEST_1st_win,sad
난 그렇게 하게되면 잃는 사람도 많아지게 되고 쌓인거 가끔씩 조금 나올때마다 다시 내가 상처받는.. 뉴뉴누나 고마우이ㅠㅜ,sad
"겨우 7편존버하다 풀었는데 뒤통수 진짜 쎄게맞은것 같다..씽쑝.......이젠 작가의말이 얄밉기시작함ㅋㅋ...
○○과 ○○이... 야 김독자....! 동인이거 절반의 성공아닌가 ○○독자○○ 주식은 타먹었잖아 근데 왜 다 실직입니까",sad
음.. 지혀가 무슨색을 조아하더라?,sad
뭐래??,angry
갠차나요ㅠㅠㅠㅠ집도 걸어서 5분인걸요!! 플레이시간은 넉넉치못하더라도...! 그래도 하고싶은마음이 잔뜩인걸요ㅠㅠㅠㅠ엘이 1주년라이브도 챙겨줘야할텐데ㅠㅠㅠㅠㅠ빠듯한 일상에 그저눈물만 흘리는중이에요...우티구하기도 빠듯하니...마음편하게 플레이하면 좋은데..괜히 욕심일까요,sad
그쵸 하오리만 벗어도 넘 좋아요.. ㅋㅋㅋㅋㅋ방도 돌돌 밀구 옷도 돌돌돌 밀구 키요미도 돌돌돌 밀어서 혼나요ㅠㅋㅋㅋㅋ넘 귀여워요ㅠㅋㅋㅋㅋ 사람을 밀지말고 고양이 털을 밀으라고! 해서 미안합니다...하구 사과할거에요(?)ㅋㅋㅋㅋㅋㅋㅠㅠㅠㅠㅠㅠㅠ,sad
이미 다른분이 쌤 옆 자리를 차지했네여,sad
